name,nationality,dob,highest_rank,highest_rank_year,handed,turned_pro,fav_surface,last10_win,rank,points,rank_2023,win_loss_2023,win_loss_clay_2023,win_loss_hardcourt_2023,win_loss_indoor_2023,win_loss_grass_2023,win_loss_other_2023,rank_2022,win_loss_2022,win_loss_clay_2022,win_loss_hardcourt_2022,win_loss_indoor_2022,win_loss_grass_2022,win_loss_other_2022,rank_2021,win_loss_2021,win_loss_clay_2021,win_loss_hardcourt_2021,win_loss_indoor_2021,win_loss_grass_2021,win_loss_other_2021,rank_2020,win_loss_2020,win_loss_clay_2020,win_loss_hardcourt_2020,win_loss_indoor_2020,win_loss_grass_2020,win_loss_other_2020,rank_2019,win_loss_2019,win_loss_clay_2019,win_loss_hardcourt_2019,win_loss_indoor_2019,win_loss_grass_2019,win_loss_other_2019,rank_2018,win_loss_2018,win_loss_clay_2018,win_loss_hardcourt_2018,win_loss_indoor_2018,win_loss_grass_2018,win_loss_other_2018,total_win_loss,total_win_loss_clay,total_win_loss_hardcourt,total_win_loss_indoor,total_win_loss_grass,total_win_loss_other
"Buyukakcay, Cagla",Turkiye,1989-09-28,60,2016,Right,2005,Hard,40%,267,-,-,12/11,6/7,4/2,-,-,2/2,270,36/13,22/10,11/2,3/1,-,-,241,19/25,12/15,3/5,4/4,0/1,-,178,18/14,1/3,1/3,4/3,-,12/5,179,50/28,35/16,11/6,2/4,0/1,2/1,264,26/23,18/14,0/4,6/4,0/1,2/0,316/272,142/107,85/91,64/42,4/18,21/14
"Garcia Perez, Georgina",Spain,1992-05-13,124,.2018,Right,2009,Hard,60%,517,420,-,22/10,0/1,22/7,0/2,-,-,564,5/13,1/5,3/6,1/2,-,-,232,7/8,3/2,1/2,-,3/4,-,190,21/9,4/2,12/4,2/1,-,3/2,259,34/32,19/17,10/10,3/2,0/3,2/0,143,29/20,11/9,5/4,13/7,-,-,277/170,126/77,105/48,31/28,10/13,5/4
"Verdasco, Fernando",Spain,1983-11-15,7,009,Left,2001,,20%,292,545,-,3/8,0/4,1/3,2/1,-,-,124,34/32,12/13,17/12,2/3,3/4,-,154,10/20,3/7,7/6,0/6,0/1,-,65,6/8,0/3,4/2,2/3,-,-,49,27/28,8/9,5/8,7/6,5/4,2/1,28,34/28,14/10,14/11,5/3,1/4,-,623/498,242/172,235/195,71/67,54/47,21/17
"Uberoi, Nikita",USA,1993-10-21,819,.2019,Right,,,20%,-,-,-,2/6,0/2,2/4,-,-,,,,,,,,,,,,,,,,1243,0/7,0/5,0/2,-,-,,1171,10/28,1/6,9/22,-,-,,-,14/24,7/13,7/11,-,-,,36/94,15/36,21/58,0/0,0/0,
"Vilicich, Bautista",Argentina,2001-10-05,,,Right,,Hard,50%,1733,2209,-,2/2,2/2,-,-,-,,1726,4/3,1/1,3/2,-,-,,1228,20/15,16/12,4/3,-,-,,1800,6/5,6/5,-,-,-,,1667,5/3,5/3,-,-,-,,,,,,,,,37/28,30/23,7/5,0/0,0/0,
"Gjorcheska, Lina",North Macedonia,1994-08-03,170,.2017,Right,,,60%,260,422,-,14/10,6/5,-,8/5,-,-,243,40/22,28/15,7/6,0/1,-,5/0,276,32/20,27/12,1/3,4/5,-,-,348,26/11,7/4,-,8/3,-,11/4,406,36/22,18/14,13/2,3/4,-,2/2,390,16/12,9/6,4/4,3/2,-,-,352/186,260/122,44/33,30/24,0/1,18/6
"Cerezo, Marie",France,1998-07-21,,,,,,30%,-,-,2023,-,1/2,-,-,,,2022,-,-,2/2,-,,,,,,,,,,2020,-,0/2,-,-,,,2019,-,-,0/1,-,,,2018,0/2,-,0/3,-,,,1/10,1/6,3/10,0/0,,
"Ferrari, Gianmarco",Italy,2000-10-04,390,.2023,,,,50%,390,319,-,14/14,10/9,-,4/5,-,,412,37/26,28/16,3/3,6/7,-,,950,30/19,27/17,3/2,-,-,,1621,7/8,5/4,2/4,-,-,,1904,6/14,6/14,-,-,-,,1902,9/8,9/8,-,-,-,,103/89,85/68,8/9,10/12,0/0,
"Baker, Blu",Great Britain,2001-08-28,608,.2022,Right,,Grass,40%,697,538,-,3/6,3/4,0/2,-,-,-,609,40/23,29/13,11/9,0/1,-,-,1016,16/16,12/8,3/7,1/1,-,-,1639,20/5,-,-,-,-,20/5,1582,1/1,-,1/1,-,-,-,,,,,,,,80/51,44/25,15/19,1/2,0/0,20/5
"Connor, Preston",Ireland,2001-03-30,,,Right,,Clay,0%,-,-,,,,,,,,2022,-,0/11,-,-,,,2021,0/6,7/28,-,-,,,2020,0/3,3/8,-,-,,,2019,1/5,2/5,-,-,,,2018,0/1,-,-,-,,,2/25,12/52,0/0,0/0,,
"Martinez Irigoyen, Astur",Argentina,2000-01-27,,,Right,,Clay,40%,-,-,,,,,,,,2022,0/1,-,-,-,,,2021,6/5,4/7,-,-,,,,,,,,,,,,,,,,,2018,1/2,-,-,-,,,7/8,4/7,0/0,0/0,,
"Nazaruk, Dominik",Poland,1996-10-14,1295,8.2019,Left,,Clay,20%,-,-,,,,,,,,,,,,,,,2062,1/2,1/2,-,-,-,-,1611,4/8,-,0/2,-,-,4/6,1557,18/17,8/7,6/8,4/2,-,-,1321,22/16,12/10,1/1,9/5,-,-,89/96,42/47,25/29,18/14,0/0,4/6
"Kolar, Zdenek",Czech Republic,1996-10-09,111,.2022,Right,2014,,70%,169,145,-,21/14,10/5,2/3,9/6,-,-,247,24/36,17/24,2/6,3/4,2/2,-,142,44/32,34/19,1/6,5/6,1/1,3/0,232,17/20,9/8,1/3,6/8,-,1/1,231,42/38,17/19,3/4,21/13,0/1,1/1,224,32/33,21/22,5/5,4/5,1/1,1/0,346/266,242/160,18/32,76/66,4/5,6/3
"Granollers, Gerard",Spain,1989-01-30,217,.2013,Right,,,50%,-,-,,,,,,,,,,,,,,,992,2/2,0/1,2/1,-,-,-,862,8/5,8/3,0/2,-,-,-,675,8/14,5/11,3/3,-,-,-,793,15/20,7/7,8/12,0/1,-,-,284/228,219/164,63/61,0/2,0/1,2/0
"Karadzhaeva, Mariam",Neutral,2002-09-02,,,Right,,Hard,30%,-,-,2023,3/5,-,-,-,,,2022,1/5,-,0/2,-,,,2021,1/4,-,-,-,,,,,,,,,,2019,0/1,0/1,-,-,,,2018,0/1,-,-,-,,,5/16,0/1,0/2,0/0,,
"Bulgaru, Miriam Bianca",Romania,1998-10-08,223,.2023,Right,,Hard,60%,230,580,-,15/10,9/5,4/3,2/2,-,-,247,47/29,40/24,5/5,2/0,-,-,407,29/23,16/13,12/8,1/2,-,-,377,12/15,3/5,-,1/5,-,8/5,373,42/28,32/21,9/5,1/2,-,-,490,31/21,27/18,4/3,-,-,-,256/165,206/120,35/28,7/12,0/0,8/5
"Podrez, Veronika",Ukraine,2007-01-11,,,,,,70%,1141,-,-,9/4,9/3,0/1,-,-,,1240,17/12,6/7,7/2,4/3,-,,-,2/2,1/1,-,1/1,-,,,,,,,,,,,,,,,,,,,,,,,28/18,16/11,7/3,5/4,0/0,
"Evtimova, Dia",Bulgaria,1987-04-30,145,.2011,Right,2005,Clay,20%,632,496,-,3/11,3/8,0/3,-,-,-,597,19/22,19/17,0/5,-,-,-,734,17/19,14/16,3/3,-,-,-,642,6/9,1/2,5/7,-,-,-,609,15/27,12/17,3/10,-,-,-,-,44/28,23/21,21/7,-,-,-,286/281,229/213,51/56,5/9,0/1,1/2
"Fioriti, Federico",Italy,2001-03-30,,,,,,14%,-,-,,,,,,,,2022,-,0/2,-,-,,,2021,-,1/2,-,-,,,,,,,,,,2019,0/2,-,-,-,,,,,,,,,,0/2,1/4,0/0,0/0,,
"Friedsam, Anna-Lena",Germany,1994-02-01,45,2016,Right,2011,,50%,88,94,-,16/11,5/4,6/4,4/2,-,1/1,120,30/27,10/9,16/13,2/3,1/2,1/0,140,18/23,9/8,3/6,5/7,1/2,-,111,16/16,1/4,3/5,7/5,-,5/2,145,29/16,10/6,13/5,4/2,2/3,-,483,4/3,-,4/3,-,-,-,259/191,72/62,92/69,72/41,16/16,7/3
"Bhosale, Rutuja",India,1996-03-27,342,.2019,Right,,Hard,60%,370,233,-,20/14,-,17/10,1/1,-,2/3,470,27/23,5/4,19/16,1/2,-,2/1,505,14/12,1/2,13/8,0/2,-,-,427,12/6,-,9/4,-,-,3/2,466,18/25,1/3,17/21,0/1,-,-,344,28/21,0/1,28/20,-,-,-,159/129,17/15,133/102,2/6,0/0,7/6
"Nguyen Tan, Lucie",France,2003-05-30,,,,,,50%,387,553,-,8/14,4/5,2/3,2/6,-,,376,29/33,26/22,3/7,0/4,-,,619,35/27,20/15,12/8,3/4,-,,-,1/5,1/4,0/1,-,-,,,,,,,,,-,1/4,1/1,-,0/3,-,,74/83,52/47,17/19,5/17,0/0,
"Pattinama Kerkhove, Lesley",Netherlands,1991-11-04,135,.2022,Right,2010,Hard,40%,202,364,-,20/13,-,0/1,18/9,-,2/3,232,34/32,0/1,23/15,8/8,3/5,0/3,158,29/29,1/4,17/16,4/5,7/3,0/1,176,9/16,2/2,4/6,3/7,-,0/1,167,46/23,0/2,27/8,14/10,5/3,-,195,30/19,0/1,20/11,8/4,1/2,1/1,363/280,87/75,143/87,111/88,19/21,3/9
"Popyrin, Alexei",Australia,1999-08-05,59,2021,Right,2017,Clay,60%,77,469,-,21/14,10/5,11/9,-,-,-,120,26/31,7/4,9/16,3/5,7/6,-,61,32/26,8/6,13/11,10/4,1/4,0/1,113,14/16,5/5,3/4,6/7,-,-,97,37/33,7/7,17/17,6/5,6/3,1/1,151,46/26,15/10,20/10,11/6,-,-,231/178,67/48,111/85,38/30,14/13,1/2
"Azadinho, Carolina",Portugal,2003-02-03,,,Right,,,20%,-,-,2023,-,1/1,-,-,,,2022,0/5,1/4,0/1,-,,,2021,0/5,3/10,0/2,-,,,,,,,,,,2019,-,2/4,1/1,-,,,2018,-,2/2,-,-,,,0/10,9/21,1/4,0/0,,
"Roe Flannelly, Josh",Ireland,2001-07-19,,,,,,40%,-,-,2023,0/2,3/4,-,-,,,2022,0/3,0/1,-,-,,,2021,0/4,0/4,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/9,3/9,0/0,0/0,,
"Boyd, Kalman L",USA,1997-04-09,947,.2019,Right,,Hard,60%,1639,1802,-,6/4,-,6/4,-,-,,1151,16/14,-,16/14,-,-,,1273,2/2,-,2/2,-,-,,,,,,,,,960,21/17,-,21/17,-,-,,,,,,,,,54/45,4/3,50/42,0/0,0/0,
"Chaiyarin, Credit",Thailand,2003-12-09,,,Right,,Grass,30%,-,-,2023,0/4,3/5,0/1,-,,,2022,8/17,9/10,-,-,,,2021,10/30,13/16,2/2,-,,,2020,0/1,1/2,-,-,,,2019,0/1,9/9,-,-,,,2018,1/2,1/1,0/1,-,,,19/55,36/43,2/4,0/0,,
"Elamin, Ammar",Ireland,2002-06-19,,,,,,60%,-,1709,,,,,,,,2022,4/5,16/18,0/1,-,-,,2021,2/4,11/15,-,-,1/0,,,,,,,,,2019,-,0/4,-,-,-,,2018,-,0/1,-,-,-,,6/9,27/38,0/1,0/0,1/0,
"Faludi, Vivien Noemi",Hungary,2004-09-12,,,Right,,Hard,20%,-,1282,2023,1/1,0/3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1,0/3,0/0,0/0,,
"Turker, Mert Naci",Turkiye,1998-08-16,1076,6.2018,,,,50%,1277,885,-,10/10,10/10,-,-,-,,1234,26/18,24/16,2/2,-,-,,1257,9/15,8/14,1/1,-,-,,-,4/12,4/12,-,-,-,,-,8/11,8/10,0/1,-,-,,1200,22/25,15/16,7/9,-,-,,116/146,84/101,32/44,0/1,0/0,
"Kotecha, Anjali",Great Britain,2005-10-09,,,,,,0%,-,-,2023,-,0/2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/2,0/0,0/0,,
"Bougrat, Maelys",France,2002-03-21,857,.2019,Right,,Clay,50%,-,-,-,5/4,-,5/4,-,-,,-,7/21,4/13,3/4,0/4,-,,1086,11/22,11/15,0/5,0/2,-,,925,11/11,6/4,5/6,0/1,-,,900,20/21,17/13,2/5,1/3,-,,-,16/16,12/12,4/4,-,-,,74/102,54/64,19/28,1/10,0/0,
"Almeida, Eduardo Lobo Da Rosa de",Brazil,2001-07-10,,,Right,,,10%,-,-,,,,,,,,,,,,,,,2021,1/3,-,-,-,,,2020,0/3,0/2,-,-,,,2019,-,1/12,-,-,,,2018,-,5/8,-,-,,,1/6,6/22,0/0,0/0,,
"Kontolaimaki, Maria",Greece,2004-05-05,,,Right,,Hard,0%,-,-,,,,,,,,,,,,,,,2021,0/3,-,-,-,,,2020,0/2,-,-,-,,,2019,0/4,-,-,-,,,2018,0/2,-,-,-,,,0/11,0/0,0/0,0/0,,
"Tumasonis, Gabriel Pascotto",Brazil,1996-01-22,1075,9.2022,Left,,Clay,20%,1464,818,-,2/5,0/3,2/2,-,-,,1156,17/24,9/16,8/8,-,-,,1876,5/4,5/3,0/1,-,-,,,,,,,,,-,0/1,0/1,-,-,-,,-,15/17,14/15,1/2,-,-,,101/109,82/87,19/22,0/0,0/0,
"Zhabrailova , Milana",Neutral,2003-02-10,,,,,,50%,706,631,-,6/5,-,6/5,-,-,,771,32/24,-,29/20,3/4,-,,1304,22/23,-,22/22,0/1,-,,-,4/3,4/3,-,-,-,,,,,,,,,-,8/6,7/5,1/1,-,-,,74/65,13/12,58/48,3/5,0/0,
"Yashina, Ekaterina",Neutral,1993-08-06,335,.2019,Right,,Hard,30%,410,133,-,10/17,5/7,0/6,5/4,-,-,369,34/30,0/3,26/23,8/4,-,-,413,44/31,3/5,26/17,14/8,1/1,-,630,18/12,0/2,-,5/5,-,13/5,575,14/32,2/7,7/12,5/13,-,-,337,30/32,6/12,16/14,8/6,-,-,288/296,32/65,141/143,100/81,1/1,14/6
"Fajta, Peter",Hungary,2002-05-23,477,.2022,Right,,Hard,60%,650,-,-,18/10,6/4,12/6,-,-,,619,27/19,12/11,15/7,0/1,-,,589,38/22,14/14,22/7,2/1,-,,978,8/4,5/3,-,3/1,-,,1174,4/4,4/4,-,-,-,,-,1/1,1/1,-,-,-,,96/60,42/37,49/20,5/3,0/0,
"Bovy, Arnaud",Belgium,2000-09-17,570,.2020,Left,,Clay,30%,1077,1687,,,,,,,,824,15/20,9/14,6/6,-,-,,675,21/15,6/9,11/3,4/3,-,,590,14/12,0/1,14/11,-,-,,579,33/26,21/17,12/8,0/1,-,,1157,3/1,3/1,-,-,-,,86/74,39/42,43/28,4/4,0/0,
"Albie, Audrey",France,1994-10-24,221,.2023,Right,,Hard,40%,241,526,-,15/11,1/3,1/1,13/7,-,-,263,39/28,15/13,7/5,17/10,-,-,430,20/21,8/10,4/3,8/8,-,-,396,14/14,2/5,6/1,2/6,-,4/2,329,21/20,3/9,4/1,14/10,-,-,341,23/21,9/13,-,14/8,-,-,249/194,117/105,29/19,99/68,0/0,4/2
"Rasskovskaia, Lidiia",Neutral,2004-07-21,,,Right,,Hard,50%,-,-,2023,-,6/6,-,-,,,2022,6/15,3/3,-,-,,,2021,2/3,1/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,8/18,10/10,0/0,0/0,,
"Lohoff, Julia",Germany,1994-04-13,338,.2017,Left,,Hard,20%,-,181,,,,,,,,-,2/2,-,2/2,-,-,-,970,0/4,0/1,0/1,0/2,-,-,816,8/5,0/2,0/1,3/2,-,5/0,835,22/18,12/11,7/4,3/3,-,-,598,17/21,5/10,9/7,3/4,-,-,196/147,59/64,109/58,23/25,0/0,5/0
"Boisson, Lois",France,2003-05-16,,,,,,70%,495,1056,-,20/9,16/5,-,4/4,-,,749,12/14,8/7,1/2,3/5,-,,525,22/18,16/9,5/5,1/4,-,,-,0/2,0/1,-,0/1,-,,-,6/6,-,5/3,1/3,-,,-,0/1,0/1,-,-,-,,60/50,40/23,11/10,9/17,0/0,
"Elkamony, Anwar",Egypt,1983-05-01,,,Right,2006,Clay,0%,-,-,,,,,,,,-,0/9,0/9,-,-,-,,-,0/15,0/15,-,-,-,,-,0/5,0/5,-,-,-,,-,0/19,0/13,0/6,-,-,,-,1/22,1/10,0/12,-,-,,2/115,2/74,0/41,0/0,0/0,
"Anazagasty-Pursoo, Ariana",USA,2006-02-05,,,,,,0%,-,-,2023,-,0/2,-,-,,,2022,-,0/2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/4,0/0,0/0,,
"Biolay , Sophia",France,2001-07-03,972,.2019,,,,50%,-,-,-,0/1,0/1,-,-,-,,-,9/5,-,9/5,-,-,,1268,7/10,0/3,7/7,-,-,,1054,7/5,2/1,5/2,0/2,-,,1015,13/12,8/5,5/5,0/2,-,,-,7/3,-,7/3,-,-,,43/36,10/10,33/22,0/4,0/0,
"Akay, Cihan",Australia,2001-12-23,,,Right,,Clay,30%,1938,1847,-,1/2,1/2,-,-,-,,1928,24/28,21/25,3/3,-,-,,,,,,,,,-,4/6,4/5,-,-,0/1,,-,1/3,-,1/3,-,-,,-,3/11,3/9,0/1,-,0/1,,34/54,29/43,5/8,0/0,0/3,
"Carrillo Marin, Alba",Spain,1996-03-06,490,.2019,Right,2013,Hard,30%,-,-,,,,,,,,-,0/1,-,0/1,-,-,-,633,19/25,6/10,13/15,-,-,-,543,10/12,6/7,3/4,-,-,1/1,522,40/28,16/15,24/12,0/1,-,-,-,34/21,17/13,13/7,4/1,-,-,185/167,87/92,92/69,5/5,0/0,1/1
"Hou, Ying",Great Britain,2000-07-03,,,,,,0%,-,1384,2023,-,1/4,0/8,-,2/13,,2022,-,5/15,5/12,0/3,0/5,,2021,-,5/8,2/3,-,1/4,,2020,1/2,1/1,0/2,-,-,,2019,0/1,3/2,0/1,-,-,,,,,,,,,1/3,15/30,7/26,0/3,3/22,
"Ormaechea, Paula",Argentina,1992-09-28,59,2013,Right,2010,Hard,40%,184,1018,-,10/9,10/8,0/1,-,-,-,168,38/23,33/18,4/4,-,0/1,1/0,212,28/21,28/18,0/3,-,-,-,274,11/12,6/8,1/1,-,-,4/3,260,24/18,18/13,6/4,-,0/1,-,234,40/12,35/10,1/2,-,-,4/0,303/222,245/146,33/50,2/3,2/8,21/15
"Gibbens, Jack",Great Britain,1997-06-23,1361,4.2021,,,,30%,-,-,-,0/1,-,0/1,-,-,-,-,12/29,-,2/4,6/6,0/3,4/16,1530,26/36,7/7,13/13,-,-,6/16,1449,15/20,-,12/12,2/5,-,1/3,1889,18/22,0/3,18/18,0/1,-,-,-,5/8,1/3,4/3,0/2,-,-,80/122,8/13,51/54,10/16,0/4,11/35
"MA, William",Australia,1995-09-09,1471,9.2019,Right,,Clay,50%,-,-,,,,,,,,,,,,,,,1723,10/15,4/10,6/5,-,-,-,1602,4/2,-,-,-,3/2,1/0,1523,14/19,4/4,9/14,-,1/1,-,1902,18/20,6/6,11/12,-,1/2,-,76/88,25/30,42/51,0/0,8/7,1/0
"Mansilla Diez, Mario",Spain,2002-05-12,816,.2022,Right,,,50%,1225,394,-,5/4,3/2,2/2,-,-,-,1157,17/26,15/21,2/5,-,-,-,919,28/24,26/20,2/4,-,-,-,1722,0/5,0/3,0/1,-,-,0/1,1667,11/6,6/3,5/3,-,-,-,-,4/6,2/5,2/1,-,-,-,73/81,55/59,18/21,0/0,0/0,0/1
"Babel, Oceane",France,2004-02-26,,,Left,,Clay,30%,525,606,-,5/10,2/6,-,3/4,-,,443,38/29,27/18,7/9,4/2,-,,854,8/13,1/4,7/9,-,-,,1160,7/3,2/1,5/2,-,-,,-,3/3,3/3,-,-,-,,-,0/1,0/1,-,-,-,,61/59,35/33,19/20,7/6,0/0,
"Starreveld, Rachelle",Netherlands,2001-09-19,,,Right,,Clay,30%,-,-,,,,,,,,2022,3/4,0/1,-,-,,,2021,1/4,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,4/8,0/1,0/0,0/0,,
